salary,pcsalary,sales,roe,pcroe,ros,indus,finance,consprod,utility,lsalary,lsales
1095,20,27595,14.100000381469728,106.4000015258789,191,1,0,0,0,6.998509407043457,10.22538948059082
1001,32,9958,10.899999618530272,-30.60000038,13,1,0,0,0,6.908754825592041,9.206131935119627
1122,9,6125.899902,23.5,-16.29999924,14,1,0,0,0,7.0228681564331055,8.720280647277832
578,-9,16246,5.900000095367432,-25.70000076,-21,1,0,0,0,6.359573841094971,9.695602416992188
1368,7,21783.19922,13.800000190734863,-3,56,1,0,0,0,7.221105098724365,9.988894463
1145,5,6021.399902,20,1,55,1,0,0,0,7.043159962,8.703075408935547
1078,10,2266.699951171875,16.399999618530273,-5.900000095,62,1,0,0,0,6.982862949371338,7.726080417633057
1094,7,2966.800048828125,16.299999237060547,-1.600000024,44,1,0,0,0,6.997595787,7.995239258
1237,16,4570.200195,10.5,-70.19999695,37,1,0,0,0,7.120444297790527,8.427311897277832
833,5,2830,26.299999237060547,-23.89999962,37,1,0,0,0,6.725033760070801,7.948031902313232
567,7,596.7999877929688,25.899999618530277,39.5,109,1,0,0,0,6.340359210968018,6.391582012176514
933,-3,19773,26.799999237060547,-26.79999924,-10,1,0,0,0,6.838405132293701,9.892072677612305
1339,-9,40047,14.800000190734863,12.100000381469728,41,1,0,0,0,7.199678421020508,10.597808837890623
937,9,2513.800048828125,22.299999237060547,9.800000190734863,44,1,0,0,0,6.842683315,7.829550743103027
2011,49,1580.5999755859375,56.29999923706055,62.20000076293945,63,1,0,0,0,7.606387615203857,7.3655595779418945
1585,4,6754,12.600000381469728,9.300000190734863,17,1,0,0,0,7.368339538574219,8.817890167236328
905,12,1066.300048828125,20.399999618530277,33.79999923706055,141,1,0,0,0,6.807934761047363,6.971950054168701
1058,94,3199.899902,1.899999976158142,-86.80000305,-15,1,0,0,0,6.964135646820068,8.070875168
922,48,1452.699951171875,19.899999618530277,97.30000305,56,1,0,0,0,6.826545238494873,7.281178951263428
1220,-7,8995,15.399999618530272,19.5,28,1,0,0,0,7.1066060066223145,9.104424476623535
1022,16,1212.300048828125,38.70000076293945,162.89999389648438,83,1,0,0,0,6.929516792297363,7.100274562835693
759,12,2824.199951171875,16.399999618530273,-9.399999619,21,1,0,0,0,6.632001876831055,7.945980548858643
1414,0,7621,24.399999618530277,-30.20000076,-10,1,0,0,0,7.254178047180176,8.938662529
1041,-11,4418.299805,15.600000381469728,-7.5,74,1,0,0,0,6.947937012,8.393509864807129
1688,1,12343,14.399999618530272,-16.79999924,15,1,0,0,0,7.431299686431885,9.420844078063965
2983,13,57662,19,9.899999618530272,42,1,0,0,0,8.000684738,10.962353706359863
1160,0,4319.700195,16.100000381469727,-23.29999924,-2,1,0,0,0,7.056175231933594,8.370941162109375
3844,61,20604,12.100000381469728,-5.900000095,18,1,0,0,0,8.254268646240234,9.933240891
476,6,611.2999877929688,16.200000762939453,-15.69999981,40,1,0,0,0,6.165417671203613,6.415587902069092
1492,10,12431.7002,18.399999618530277,-23.29999924,58,1,0,0,0,7.307872772216797,9.428005219
1024,-3,8169,14.199999809265137,-36.20000076,-10,1,0,0,0,6.931471824645996,9.008101463317873
1593,18,20659,14.899999618530272,410.2999877929688,16,1,0,0,0,7.373374462127685,9.935906410217283
427,27,3072.100098,12.399999618530272,-17.70000076,61,1,0,0,0,6.056784152984619,8.030117035
829,5,1669.0999755859375,17.100000381469727,-39.29999924,64,1,0,0,0,6.720220089,7.420039653778076
797,-3,2401.199951171875,16.899999618530273,6,39,1,0,0,0,6.680854797363281,7.783723831176758
577,23,3043.600098,18.100000381469727,-13.5,1,1,0,0,0,6.357842445373535,8.020796775817871
1342,7,6222.200195,10.899999618530272,-6,59,1,0,0,0,7.201916217803955,8.735878944396973
1774,0,7727.899902,19.299999237060547,15.300000190734863,19,1,0,0,0,7.480992317199707,8.952592849731445
709,11,719.5,18.299999237060547,4.599999904632568,65,1,0,0,0,6.563855648040772,6.578556537628174
860,28,3921.300048828125,18.399999618530277,34.70000076293945,45,1,0,0,0,6.756932258605957,8.274178504943848
1336,20,5155.100098,13.800000190734863,1.7000000476837158,7,1,0,0,0,7.197435379,8.547741889953613
516,-2,649.2000122070312,13.699999809265137,-10.30000019,27,1,0,0,0,6.246106624603272,6.475740909576416
931,20,10885,12.699999809265137,14.5,10,1,0,0,0,6.836259365081787,9.295141220092772
815,12,1651.9000244140625,15.100000381469728,-2.400000095,33,1,0,0,0,6.703187942504883,7.40968132
1681,20,12915,16.5,-66.69999695,29,1,0,0,0,7.427144050598144,9.466144561767578
568,-36,11436,10.199999809265137,-48.29999924,-19,1,0,0,0,6.342121601104736,9.344521522521973
775,7,2210.300048828125,19.600000381469727,18.899999618530277,34,1,0,0,0,6.652863025665283,7.700883388519287
1188,9,3737.800048828125,12.800000190734863,32.5,15,1,0,0,0,7.080026626586914,8.226252555847168
782,-1,1976.699951171875,15.899999618530272,-0.600000024,24,1,0,0,0,6.661854744,7.589183807373047
1170,0,2576,17.299999237060547,-39.09999847,93,1,0,0,0,7.064759254455566,7.853992938995361
1469,8,6309.100098,8.5,93.90000153,79,1,0,0,0,7.292336940765381,8.749748229980469
916,-1,2940.5,16.399999618530273,25.799999237060547,105,1,0,0,0,6.820016384124756,7.986334800720215
1070,-9,1072.5999755859375,19.5,34.79999923706055,269,1,0,0,0,6.975413799285889,6.977840900421143
894,1,1534,19.200000762939453,-3.700000048,74,1,0,0,0,6.795705795288086,7.335633754730225
829,-4,2158.800048828125,15.899999618530272,-27.60000038,-18,1,0,0,0,6.720220089,7.677307605743408
